导航	/
门户	http://www.bigdata.ren/
社区	http://www.bigdata.ren/forum.php
微信	http://www.bigdata.ren/weixin
微博	http://weibo.com/bigdataer
QQ群	http://www.bigdata.ren/forum.php?mod=viewthread&tid=178
通讯录	http://www.bigdata.ren/forum.php?mod=viewthread&tid=5627
	http://www.bigdata.ren/
	http://www.bigdata.ren/Storehouse/Library/
	https://www.hellobi.com/svip
	http://www.bigdata.ren/Storehouse/software/
大数据	http://www.bigdata.ren/
大数据人	http://www.bigdata.ren/
09大数据	http://www.09dsj.com/
大数据中国	http://www.bigdatas.cn/
大数据观察	http://www.shuju.net/
数据猿	http://www.datayuan.cn/
紫数网	http://www.zishu010.com/
数据观	http://www.cbdio.com/
数据客	http://www.idacker.com/
数据	http://www.bigdata.ren/
数据分析网	http://www.afenxi.com/
数据分析师	http://www.cdadata.com
中国数据分析	http://www.datafx.cn/
数据家	http://www.cdo.ren/
城市数据派	https://www.udparty.com
马克威算法	http://www.markwaymall.com/
DT学院	http://www.dtted.com
科技	http://www.bigdata.ren/
虎嗅网	http://www.huxiu.com/
36氪	http://36kr.com/
钛媒体	http://www.taikeji.com/
乐投网	http://www.99lt.com/
雷锋网	http://www.leiphone.com/
极客公园	http://www.geekpark.net/
头条前瞻	http://t.qianzhan.com/
数邦客	http://www.databanker.cn/
博客	http://www.bigdata.ren/
数据小兵	http://www.datasoldier.net/
数据小宇军	http://blog.sina.com.cn/u/2687675833
小蚊子乐园	http://blog.sina.com.cn/xiaowenzi22
沈浩老师	http://shenhaolaoshi.blog.sohu.com/
数据控	http://datakung.com/
郑来轶	http://www.zhenglaiyi.com/
数据小雄	http://www.zhangzhengxiong.com/
论坛	http://www.bigdata.ren/
大数据人社区	http://www.bigdata.ren/forum.php
BI168社区	http://www.bi168.cn
统计211	http://www.tj211.com/
数据熊猫	http://www.datapanda.net/
开源中国	http://www.oschina.net/
KDD大讲堂	http://www.kddchina.com/
海牛大数据	http://hainiubl.com
贴吧	http://www.bigdata.ren/
大数据吧	http://tieba.baidu.com/f?kw=%E5%A4%A7%E6%95%B0%E6%8D%AE&ie=utf-8
大数据世界	http://tieba.baidu.com/f?kw=%E5%A4%A7%E6%95%B0%E6%8D%AE%E6%97%B6%E4%BB%A3&ie=utf-8
大数据时代	http://tieba.baidu.com/f?kw=%E5%A4%A7%E6%95%B0%E6%8D%AE%E4%B8%96%E7%95%8C&ie=utf-8
数据挖掘吧	http://tieba.baidu.com/f?ie=utf-8&kw=%E6%95%B0%E6%8D%AE%E6%8C%96%E6%8E%98&fr=search
数据分析吧	http://tieba.baidu.com/f?ie=utf-8&kw=%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90&fr=search
统计学吧	http://tieba.baidu.com/f?kw=%E7%BB%9F%E8%AE%A1%E5%AD%A6&ie=utf-8&tp=0
Hadoop吧	http://tieba.baidu.com/f?kw=hadoop&ie=utf-8
公开	http://www.bigdata.ren/
统计局	http://www.stats.gov.cn/
统计年鉴	http://www.stats.gov.cn/tjsj/ndsj/
世界银行	http://data.worldbank.org.cn/
数粮	http://datasl.com/
极速数据	http://www.jisuapi.com/
华中数交所	http://www.ccbde.cn/
TuShare	http://tushare.org/
中国爬盟	http://www.cnpameng.com/
普查	http://www.bigdata.ren/
普查信息网	http://www.census.cc/
人口普查	http://www.stats.gov.cn/ztjc/zdtjgz/zgrkpc/dlcrkpc/
经济普查	http://www.stats.gov.cn/ztjc/zdtjgz/zgjjpc/dscjjpc/
农业普查	http://www.stats.gov.cn/ztjc/zdtjgz/zgnypc/
地名普查	http://dmpc.mca.gov.cn/
调研	http://www.bigdata.ren/
腾讯问卷	http://ur.qq.com/
问卷星	https://www.wjx.cn/
问卷网	http://www.wenjuan.com/
调研吧	http://www.diaoyanba.com/
调查网	http://www.1diaocha.com/
调查派	http://www.diaochapai.com/
调研宝	http://www.diaoyanbao.com/
金数据	https://jinshuju.net/
采集	http://www.bigdata.ren/
发源地	http://www.finndy.com/
集搜客	http://www.gooseeker.com/
八爪鱼	http://www.bazhuayu.com/
火车头	http://www.locoy.com/
采集器	http://www.caiji.info/
网络矿工	http://www.minerspider.com/
网络神采	http://www.sensite.cn/
网盘	http://www.bigdata.ren/
百度网盘	http://yun.baidu.com/
360云盘	http://yunpan.360.cn/
新浪微盘	http://vdisk.weibo.com/
腾讯微云	http://www.weiyun.com/
迅雷快传	http://kuai.xunlei.com/
华为网盘	http://www.dbank.com/
115云	http://www.115.com/
金山快盘	http://www.kuaipan.cn/
服务器	http://www.bigdata.ren/
华通晟云	http://www.htdatacloud.com/
阿里云	http://www.aliyun.com/
新浪云	http://sinacloud.com/
腾讯云	http://www.qcloud.com/
华为云服务	http://www.hwclouds.com/
西部数码	http://www.west.cn/
百度开放云	http://developer.baidu.com/
华云数据	https://www.chinac.com/
安全	http://www.bigdata.ren/
乌云网	http://www.wooyun.org/
应急中心	http://www.cert.org.cn/
技术	http://www.bigdata.ren/
Hadoop	http://hadoop.apache.org/
HBase	http://hbase.apache.org/
Storm	https://github.com/nathanmarz/storm
MapReduce 	http://hadoop.apache.org/docs/r1.2.1/mapred_tutorial.html
Oracle	https://www.oracle.com/big-data/index.html
工具	http://www.bigdata.ren/
SPSS中国	http://www.spss.com.cn/
Clementine	http://www-01.ibm.com/software/analytics/spss/products/modeler/
SAS中国	http://www.sas.com/zh_cn/home.html
R语言	http://www.r-project.org/
Python	http://www.python.org/
Matlab中国	http://www.mathworks.com/
Minitab	http://www.minitab.com/
Eviews	http://www.eviews.com/
网站	http://www.bigdata.ren/
蓝鲸网站分析	http://bluewhale.cc/
网站分析中国	http://www.chinawebanalytics.cn/
纪杨网站分析	http://jiyang.me/
数码林	http://blog.digitalforest.cn/
网站数据分析	http://webdataanalysis.net/
电商	http://www.bigdata.ren/
派代网	http://www.paidai.com/
i天下网商	http://i.wshang.com/
亿邦动力	http://www.ebrun.com/data/
易观网	http://www.eguan.cn/
品途网	http://www.pintu360.com/
itFeed	http://www.itfeed.com/
电商报	http://www.iecnews.com/
艾瑞电商	http://ec.iresearch.cn/
移动	http://www.bigdata.ren/
友盟	http://www.umeng.com/
威锋论坛	http://bbs.feng.com/
安卓网	http://www.hiapk.com/
木蚂蚁	http://bbs.mumayi.com/
mobile2.0	http://www.mobile20.com.cn/
移动新观察	http://www.mobiletmt.com/
雷电搜索	http://www.leidian.com/
优亿开发	http://www.eoeandroid.com/
游戏	http://www.bigdata.ren/
学分析	http://www.xuefenxi.com
数据之眼	http://www.dataeye.com/
GameDatas	http://www.gamedatas.com/
上方网	http://www.sfw.cn/
游戏邦	http://gamerboom.com/
优游网	http://www.yoyou.com/industry/data/
可视化	http://www.bigdata.ren/
图表秀	http://www.tubiaoxiu.com/
Tableau	http://www.tableau.com/
Echarts	http://echarts.baidu.com/
Icharts	http://icharts.net/
DataHero	https://datahero.com/
慧选址	http://bi.dituhui.com/
大数据魔镜	http://www.moojnn.com/
数据观	http://shujuguan.cn/
信息图	http://www.bigdata.ren/
研趣网	http://www.rinterest.cn/
云图网	http://yuntuwang.net/
图说	http://www.picsays.com/
搜狐图说IT	http://it.sohu.com/infographic/index.shtml
腾讯信息图	http://tech.qq.com/xxt.htm
新浪图解天下	http://roll.news.sina.com.cn/chart/index.shtml
财新数字说	http://datanews.caixin.com/
新华数据新闻	http://www.news.cn/video/datanews/qb.htm
词云图	http://www.bigdata.ren/
Worditout	http://www.quanjing.com/
Wordle	http://pixabay.com/
Tagul	http://www.quanjing.com/
ImageChef	http://pixabay.com/
ABCya	http://www.quanjing.com/
tagCloud	http://pixabay.com/
Tocloud	http://www.quanjing.com/
图悦	http://www.picdata.cn/
心智图	http://www.bigdata.ren/
鹰翔思维导图	http://www.mindv2.com/
在线思维导图	http://tu.mindpin.com/
TheBrain	http://www.thebrain.com.cn/
XMind	http://www.xmind.net/
NovaMind	http://www.novamind.com/
FreeMind	http://www.edrawsoft.com/freemind.php
MindManager	http://www.mindmanager.cc/
报告	http://www.bigdata.ren/
爱知客	http://www.izhike.cn/
巨潮资讯	http://www.cninfo.com.cn/cninfo-new/disclosure/fund_listed
产品	http://www.bigdata.ren/
Smartbi	http://www.smartbi.com.cn/
Ptengine	http://www.ptengine.cn/signup?utm_campaign=bdren&utm_source=bdren&utm_medium=bdren
知己知彼	http://www.zhijizhibi.net.cn/
京东数据罗盘	http://luopan.jd.com/
百度司南	http://sinan.baidu.com/
腾讯罗盘	http://compass.qq.com/
TipDM	http://www.tipdm.cn/
鸟人网	http://www.dobirduser.com/
平台	http://www.bigdata.ren/
百度大数据	http://bigengine.baidu.com/
阿里大数据	http://tianchi.aliyun.com/
腾讯大数据	http://data.qq.com/
搜索	http://www.bigdata.ren/
百度指数	http://index.baidu.com/
好搜指数	http://index.haosou.com/
